,Q11a,Q11b,Q11c,Q11d,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q13a
R01,4,4,4,4,4,4,4,4,4,4,4,4
R02,4,4,4,4,4,4,4,4,4,4,4,4
R03,4,4,4,4,4,4,4,4,4,4,4,4
R04,4,4,4,4,4,4,4,4,4,4,4,4
R05,4,4,4,4,4,4,4,4,4,4,4,4
R06,4,4,4,4,4,4,4,4,4,4,4,4
R07,4,4,4,4,4,4,4,4,4,4,4,4
R08,4,4,4,4,4,4,4,4,4,4,4,4
R09,4,4,4,4,4,4,4,4,4,4,4,4
R10,4,4,4,4,4,4,4,4,4,4,4,4
R11,4,4,4,4,4,4,4,4,4,4,4,4
R12,4,4,4,4,4,4,4,4,4,4,4,4
R13,4,4,4,4,4,4,4,4,4,4,4,4
R14,4,4,4,4,4,4,4,4,4,4,4,4
R15,4,3,4,4,4,4,4,4,4,4,4,4
R16,4,3,4,4,4,4,4,4,4,4,4,4
R17,4,3,4,4,4,4,4,4,4,4,4,4
R18,4,3,4,4,4,4,4,4,4,4,4,4
R19,4,3,4,4,4,3,4,4,4,4,4,4
R20,4,3,4,4,4,3,4,4,4,4,4,4
R21,4,3,4,4,3,3,4,4,4,4,4,4
R22,4,3,4,4,3,3,4,4,4,4,4,4
R23,4,3,4,4,3,3,4,4,4,4,4,3
R24,4,3,4,4,3,3,4,4,4,4,4,3
R25,4,3,4,4,3,3,4,4,4,4,4,3
R26,4,3,4,4,3,3,4,4,4,4,4,3
R27,4,3,4,4,3,3,3,4,4,4,4,3
R28,4,3,4,4,3,3,3,4,4,4,4,3
R29,4,3,4,4,3,3,3,4,4,4,4,3
R30,3,3,4,4,3,2,3,4,4,4,4,3
R31,3,3,4,4,3,2,3,4,4,4,4,3
R32,3,3,4,4,3,2,3,4,4,4,4,3
R33,3,3,4,4,3,2,3,4,4,4,4,3
R34,3,3,4,4,3,2,3,4,4,4,4,3
R35,3,3,4,4,3,2,3,4,4,4,4,3
R36,3,3,4,4,3,2,3,4,4,4,3,3
R37,3,3,4,4,3,2,3,4,4,4,3,3
R38,3,3,3,4,3,2,3,4,4,4,3,3
R39,3,3,3,4,3,2,3,4,4,4,3,2
R40,3,3,3,4,3,2,3,4,4,4,3,2
R41,3,3,3,4,3,2,3,4,4,4,3,2
R42,3,3,3,4,3,2,3,4,4,4,3,2
R43,2,3,3,4,3,2,2,4,4,4,3,2
R44,2,3,3,3,2,2,2,4,3,4,3,2
R45,2,3,3,3,2,2,2,3,3,4,3,2
R46,2,3,3,3,2,2,2,3,3,4,3,2
R47,2,3,3,3,2,2,2,3,3,4,3,2
R48,2,2,3,3,2,2,2,3,3,4,3,2
R49,2,2,3,3,2,2,2,3,3,4,3,2
R50,2,2,3,3,2,2,2,3,3,3,3,2
R51,2,2,3,3,2,2,2,3,3,3,3,2
R52,2,2,3,3,2,2,2,3,3,3,3,2
R53,2,2,3,3,2,2,2,3,3,3,3,2
R54,2,2,3,3,2,2,2,3,3,3,3,2
R55,2,2,3,3,2,2,2,3,2,3,3,2
R56,2,2,3,3,2,2,2,3,2,3,2,2
R57,2,2,2,2,2,2,2,3,2,3,2,2
R58,2,2,2,2,2,2,2,3,2,3,2,2
R59,2,2,2,2,2,2,2,3,2,3,2,2
R60,2,2,2,2,2,2,2,3,2,3,2,2
R61,2,2,2,2,2,2,2,2,2,3,2,2
R62,2,2,2,2,2,2,2,2,2,3,2,2
R63,2,2,2,2,2,2,2,2,2,3,2,2
R64,2,2,2,2,2,2,2,2,2,3,2,2
R65,1,2,2,2,1,2,2,,,2,1,2
R66,1,2,2,,1,2,2,,,,1,2
R67,,2,,,1,1,1,,,,,1
R68,,2,,,1,1,,,,,,1
R69,,1,,,1,,,,,,,
R70,,,,,,,,,,,,
R71,,,,,,,,,,,,
R72,,,,,,,,,,,,
R73,,,,,,,,,,,,
R74,,,,,,,,,,,,
R75,,,,,,,,,,,,
R76,,,,,,,,,,,,
R77,,,,,,,,,,,,
R78,,,,,,,,,,,,
R79,,,,,,,,,,,,
R80,,,,,,,,,,,,
R81,,,,,,,,,,,,
R82,,,,,,,,,,,,
R83,,,,,,,,,,,,
R84,,,,,,,,,,,,
R85,,,,,,,,,,,,
R86,,,,,,,,,,,,
R87,,,,,,,,,,,,
R88,,,,,,,,,,,,
R89,,,,,,,,,,,,
R90,,,,,,,,,,,,
R91,,,,,,,,,,,,
R92,,,,,,,,,,,,
